number,value,datetime_start,datetime_complete,duration,params_dt_criterion,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_dt_splitter,params_feature_selector,params_hgb_learning_rate,params_hgb_max_bins,params_hgb_max_depth,params_hgb_max_iter,params_lasso_alpha,params_lgb_feature_fraction,params_lgb_learning_rate,params_lgb_max_depth,params_lgb_n_estimators,params_lgb_num_leaves,params_model,params_rf_bootstrap,params_rf_criterion,params_rf_max_depth,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_scaler,params_xgb_alpha,params_xgb_booster,params_xgb_lambda,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,user_attrs_MAE,user_attrs_MSE,user_attrs_R2,user_attrs_error,state
0,,2025-05-04 05:13:20.450105,2025-05-04 05:13:20.552758,0 days 00:00:00.102653,,,,,,none,,,,,,,,,,,RandomForest,False,mse,8.0,6.0,5.0,41.0,maxabs,,,,,,,,,,"The 'criterion' parameter of RandomForestRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mse' instead.",PRUNED
1,20.948976936944728,2025-05-04 05:13:20.452113,2025-05-04 05:13:34.708627,0 days 00:00:14.256514,,,,,,none,0.6333929641882873,220.0,11.0,520.0,,,,,,,HistGradientBosting,,,,,,,standard,,,,,,,8.260596003370557,438.8596347046421,0.795391656674306,,COMPLETE
2,,2025-05-04 05:13:20.453191,2025-05-04 05:13:20.668983,0 days 00:00:00.215792,,,,,,lasso,,,,,0.004250645879663735,0.9511805613841665,0.0726543288562125,5.0,645.0,190.0,LightGBM,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
3,,2025-05-04 05:13:20.454088,2025-05-04 05:13:20.570344,0 days 00:00:00.116256,,,,,,lasso,0.022295025036141797,249.0,19.0,685.0,0.1391953008578899,,,,,,HistGradientBosting,,,,,,,standard,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
4,,2025-05-04 05:13:20.455431,2025-05-04 05:13:20.666912,0 days 00:00:00.211481,,,,,,lasso,,,,,0.1410066039448944,0.47261075282015624,0.03985997836709602,5.0,603.0,84.0,LightGBM,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
5,,2025-05-04 05:13:20.456226,2025-05-04 05:13:20.599085,0 days 00:00:00.142859,mse,9.0,14.0,2.0,best,none,,,,,,,,,,,DecisionTree,,,,,,,standard,,,,,,,,,,"The 'criterion' parameter of DecisionTreeRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mse' instead.",PRUNED
6,19.318791126110067,2025-05-04 05:13:20.458062,2025-05-04 05:14:09.008833,0 days 00:00:48.550771,,,,,,none,,,,,,0.48906530900513245,0.03363907881272667,15.0,707.0,139.0,LightGBM,,,,,,,maxabs,,,,,,,6.94971523457435,373.2156905742691,0.8259966556209953,,COMPLETE
7,21.87195614647123,2025-05-04 05:13:20.458896,2025-05-04 05:13:50.643323,0 days 00:00:30.184427,,,,,,none,,,,,,0.8082658909249323,0.6059033674209882,13.0,670.0,60.0,LightGBM,,,,,,,standard,,,,,,,8.609631502521925,478.3824656731607,0.7769650338352005,,COMPLETE
8,34.00751165416438,2025-05-04 05:13:20.460279,2025-05-04 05:13:20.982869,0 days 00:00:00.522590,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.4290257074451497,gblinear,0.948219338728268,0.1342772277445818,17.0,58.0,13.50781812193799,1156.5108489081265,0.4608030915260315,,COMPLETE
9,32.059009905005624,2025-05-04 05:13:20.461356,2025-05-04 05:13:21.211599,0 days 00:00:00.750243,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,standard,0.3004147309353542,gblinear,0.7881959103130363,0.09928851562601726,13.0,67.0,10.946384407235929,1027.7801160892488,0.5208208560943604,,COMPLETE
10,,2025-05-04 05:13:20.462512,2025-05-04 05:13:20.656796,0 days 00:00:00.194284,,,,,,lasso,0.41348365020869543,234.0,33.0,767.0,0.00021042812308746248,,,,,,HistGradientBosting,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
11,,2025-05-04 05:13:20.463701,2025-05-04 05:13:20.623193,0 days 00:00:00.159492,,,,,,lasso,,,,,0.07081824477529076,,,,,,XGBoost,,,,,,,standard,0.6436064976488828,gbtree,0.9954262970144251,0.898618133600135,7.0,53.0,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
12,,2025-05-04 05:13:20.466568,2025-05-04 05:13:20.784922,0 days 00:00:00.318354,mae,13.0,13.0,8.0,random,none,,,,,,,,,,,DecisionTree,,,,,,,robust,,,,,,,,,,"The 'criterion' parameter of DecisionTreeRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mae' instead.",PRUNED
13,,2025-05-04 05:13:20.468343,2025-05-04 05:13:20.628766,0 days 00:00:00.160423,,,,,,lasso,,,,,0.0861036461862444,,,,,,RandomForest,True,mse,24.0,33.0,4.0,52.0,standard,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
14,,2025-05-04 05:13:20.469613,2025-05-04 05:13:20.595116,0 days 00:00:00.125503,mse,3.0,32.0,2.0,best,none,,,,,,,,,,,DecisionTree,,,,,,,maxabs,,,,,,,,,,"The 'criterion' parameter of DecisionTreeRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mse' instead.",PRUNED
15,22.1170880023521,2025-05-04 05:13:20.472221,2025-05-04 05:13:38.267388,0 days 00:00:17.795167,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,robust,0.20526431887504748,dart,0.8800200564526133,0.07509901656093425,22.0,100.0,7.858603761439503,489.1655817037872,0.7719376087188721,,COMPLETE
16,22.96069950672025,2025-05-04 05:13:20.476358,2025-05-04 05:13:51.323811,0 days 00:00:30.847453,,,,,,none,0.017260286297606245,163.0,4.0,508.0,,,,,,,HistGradientBosting,,,,,,,maxabs,,,,,,,8.486188377910889,527.1937218379035,0.754207893579557,,COMPLETE
17,,2025-05-04 05:13:20.477751,2025-05-04 05:13:20.641593,0 days 00:00:00.163842,,,,,,none,,,,,,,,,,,RandomForest,True,mse,3.0,11.0,5.0,25.0,maxabs,,,,,,,,,,"The 'criterion' parameter of RandomForestRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mse' instead.",PRUNED
18,,2025-05-04 05:13:20.478997,2025-05-04 05:13:20.630213,0 days 00:00:00.151216,,,,,,lasso,,,,,0.02234312710953179,0.47997473437360977,0.1509305522388148,1.0,778.0,161.0,LightGBM,,,,,,,standard,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
19,,2025-05-04 05:13:20.479612,2025-05-04 05:13:20.830087,0 days 00:00:00.350475,mae,15.0,1.0,8.0,best,lasso,,,,,0.04959396096813882,,,,,,DecisionTree,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
20,20.157097461718347,2025-05-04 05:13:20.480479,2025-05-04 05:13:34.063302,0 days 00:00:13.582823,,,,,,none,0.17806864687010301,173.0,18.0,832.0,,,,,,,HistGradientBosting,,,,,,,maxabs,,,,,,,7.519546405638375,406.30857808121226,0.810567847972244,,COMPLETE
21,22.961923391334107,2025-05-04 05:13:20.483025,2025-05-04 05:13:29.316234,0 days 00:00:08.833209,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,standard,0.7732923002586923,gbtree,0.3309068738415408,0.03108819889675355,24.0,82.0,8.374526311108138,527.2499258294964,0.7541816830635071,,COMPLETE
22,32.351214971278054,2025-05-04 05:13:20.485794,2025-05-04 05:13:21.745907,0 days 00:00:01.260113,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.14074357280843974,gblinear,0.9180320204380429,0.2663799778325731,9.0,166.0,11.46750813179832,1046.6011101178453,0.5120459794998169,,COMPLETE
23,,2025-05-04 05:13:20.493252,2025-05-04 05:13:20.639349,0 days 00:00:00.146097,,,,,,lasso,,,,,0.23402021285946947,,,,,,XGBoost,,,,,,,maxabs,0.7240741260783775,gblinear,0.9174489058026768,0.39199149292772084,21.0,136.0,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
