number,value,datetime_start,datetime_complete,duration,params_dt_criterion,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_dt_splitter,params_feature_selector,params_hgb_learning_rate,params_hgb_max_bins,params_hgb_max_depth,params_hgb_max_iter,params_lasso_alpha,params_lgb_feature_fraction,params_lgb_learning_rate,params_lgb_max_depth,params_lgb_n_estimators,params_lgb_num_leaves,params_model,params_rf_bootstrap,params_rf_criterion,params_rf_max_depth,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_scaler,params_xgb_alpha,params_xgb_booster,params_xgb_lambda,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,user_attrs_MAE,user_attrs_MSE,user_attrs_R2,user_attrs_error,state
0,,2025-05-04 05:04:42.630546,2025-05-04 05:04:42.760857,0 days 00:00:00.130311,mse,30.0,1.0,6.0,random,lasso,,,,,0.2359684941636755,,,,,,DecisionTree,,,,,,,maxabs,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
1,,2025-05-04 05:04:42.631439,2025-05-04 05:04:42.905153,0 days 00:00:00.273714,,,,,,lasso,,,,,0.00023523957712245404,0.5011565946373515,0.0845389960298255,10.0,338.0,92.0,LightGBM,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
2,,2025-05-04 05:04:42.633290,2025-05-04 05:04:42.802078,0 days 00:00:00.168788,mse,5.0,9.0,9.0,random,lasso,,,,,0.005678284791220096,,,,,,DecisionTree,,,,,,,standard,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
3,,2025-05-04 05:04:42.633773,2025-05-04 05:04:42.768568,0 days 00:00:00.134795,,,,,,lasso,,,,,0.00039418659982804946,0.7610722013736035,0.3765105599925766,12.0,644.0,293.0,LightGBM,,,,,,,maxabs,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
4,,2025-05-04 05:04:42.635119,2025-05-04 05:04:42.751222,0 days 00:00:00.116103,,,,,,none,,,,,,,,,,,RandomForest,False,mse,6.0,32.0,9.0,97.0,maxabs,,,,,,,,,,"The 'criterion' parameter of RandomForestRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mse' instead.",PRUNED
5,,2025-05-04 05:04:42.636382,2025-05-04 05:04:42.795965,0 days 00:00:00.159583,,,,,,lasso,,,,,0.00030435059789599183,,,,,,XGBoost,,,,,,,maxabs,0.6480626505444571,dart,0.8008030134122855,0.6342980446116531,16.0,41.0,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
6,,2025-05-04 05:04:42.637608,2025-05-04 05:04:42.790323,0 days 00:00:00.152715,,,,,,lasso,,,,,0.00043776785946257585,0.4508039863024778,0.031767156365631655,8.0,611.0,97.0,LightGBM,,,,,,,maxabs,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
7,,2025-05-04 05:04:42.638978,2025-05-04 05:04:42.811294,0 days 00:00:00.172316,mse,13.0,17.0,10.0,random,lasso,,,,,0.04193497135346158,,,,,,DecisionTree,,,,,,,standard,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
8,3458.240689569556,2025-05-04 05:04:42.642167,2025-05-04 05:04:43.048827,0 days 00:00:00.406660,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.8944335212431127,gblinear,0.020301114575632218,0.9755323433057573,28.0,21.0,1359.647938999282,11959428.666994518,-191.16412353515625,,COMPLETE
9,140.66841799648503,2025-05-04 05:04:42.643219,2025-05-04 05:04:43.194928,0 days 00:00:00.551709,,,,,,none,,,,,,0.8377321647930042,0.014264531233445822,2.0,129.0,240.0,LightGBM,,,,,,,maxabs,,,,,,,42.65603854196021,19787.60382163383,0.6820527793885504,,COMPLETE
